,profession,Corrected,Categorie
2075,commercant,commerçant,commerçant
2076,assurance,assurance,None
2077,autre,autre,None
2079,eleve,élevé,None
2080,eleve,élevé,None
2081,eleve,élevé,None
2082,commercante,commerçant,commerçant
2083,eleve,élevé,None
2086,femme de menage,Femme de ménage,None
2087,commercante,commerçant,commerçant
2092,marketing,marketing,None
2093,coiffeuse,coiffeuse,None
2094,missionaire,missionnaire,transport
2095,autre,autre,None
2097,autre,autre,None
2101,distributeur,distributeur,commerçant
2102,autre,autre,None
2104,commercant,commerçant,commerçant
2105,menagere,ménagère,None
2106,commercant,commerçant,commerçant
2107,enseignant,enseignement,enseignement
2108,professeur,professeur,enseignement
2109,direceteur de la police judiciaire,directeur de la police judiciaire,enseignement
2110,informaticien,informaticien,None
2111,controleur qualite patisen,contrôleur qualité pâtis-en,None
2112,commercant,commerçant,commerçant
2113,agent du ter,Agent du ter,None
2116,vendeuse marche guediawaye,Vendeuse marche guediawaye,None
2117,agent conseiller,Agent conseiller,enseignement
2118,menagere,ménagère,None
2119,menagere,ménagère,None
2120,pretre,prêtre,None
2121,sp,SP,None
2122,comptable,comptable,None
2123,infirmiere,infirmière,médical
2125,sapeurs,sapeurs,None
2126,menagere,ménagère,None
2127,caissiere,caissière,None
2128,menagere,ménagère,None
2129,retraite,retraite,transport
2130,cadre administratif,Cadre administratif,médical
2131,directeur de societe,Directeur de société,enseignement
2132,professeur yoga,Professeur yoga,None
2133,macon,maçon,None
2134,infographiste,infographiste,None
2135,autre,autre,None
2136,etudiant,étudiant,enseignement
2138,ingenieur genie civil,ingénieur génie civil,enseignement
2140,autre,autre,None
2141,agent de sante,Agent de santé,médical
2143,chanchelier,chancelier,None
2144,journaliste,journaliste,None
2145,chef religieux,Chef religieux,enseignement
2146,autre,autre,None
2147,autre,autre,None
2150,etudiant,étudiant,enseignement
2151,menagere,ménagère,None
2152,eleve,élevé,None
2153,menagere,ménagère,None
2155,ingenieur,ingénieur,enseignement
2156,chauffeur taxi,Chauffeur taxi,transport
2157,etudiant,étudiant,enseignement
2158,agent a la fondation afrivak,Agent a la fondation arriva,None
2159,ingenieur bad,ingénieur bad,enseignement
2161,assistante de direction,Assistante de direction,transport
2162,domestique,domestique,None
2164,femme de menage,Femme de ménage,None
2165,eleve,élevé,None
2166,secretaire,secrétaire,transport
2167,medecin,médical,médical
2168,commercant,commerçant,commerçant
2172,secretaire,secrétaire,transport
2174,secretaire,secrétaire,transport
2175,artiste,artiste,None
2176,medecin,médical,médical
2177,etudiant,étudiant,enseignement
2178,etudiante,étudiante,enseignement
2179,etudiant,étudiant,enseignement
2180,evenementiel,événementiel,None
2181,cassier,cassier,None
2182,chauffeur de bus,Chauffeur de bus,transport
2183,femme au foyer,Femme au foyer,None
2184,retraite,retraite,transport
2186,eleve,élevé,None
2187,femme de menage,Femme de ménage,None
2188,responsable financie,Responsable financier,enseignement
2189,femme de menage,Femme de ménage,None
2190,eleve,élevé,None
2192,commercante,commerçant,commerçant
2193,agent ambassade espagne,Agent ambassade Espagne,None
2194,eleve,élevé,None
2197,ingenieur,ingénieur,enseignement
2198,retraite,retraite,transport
2199,autre,autre,None
2200,autre,autre,None
2201,agent de sante,Agent de santé,médical
2202,asp,as,None
2203,asc(sante),ASC(santé),médical
2204,medecin,médical,médical
2205,militaire gendarme,Militaire gendarme,transport
2206,autre,autre,None
2207,etudiant,étudiant,enseignement
2209,autre,autre,None
2210,etudiant,étudiant,enseignement
2211,etudiant,étudiant,enseignement
2213,etudiant,étudiant,enseignement
2216,commerciale,commerçant,commerçant
2223,menagere,ménagère,None
2224,maitre coranique,Maitre coranique,enseignement
2226,etudiant,étudiant,enseignement
2227,etudiant,étudiant,enseignement
2234,couturiere,couturière,None
2235,menagere,ménagère,None
2236,eleve,élevé,None
2239,etudiant,étudiant,enseignement
2240,eleve,élevé,None
2244,menagere,ménagère,None
2247,eleve,élevé,None
2248,responsable rh,Responsable RH,None
2250,femme au foyer,Femme au foyer,None
2251,ingenieur,ingénieur,enseignement
2252,secretaire,secrétaire,transport
2253,arcitecte,architecte,None
2254,directrice de l'etablissement de la maison libanaise,Directrice de l'établissement de la maison libanaise,enseignement
2255,expert comptable,expert-comptable,None
2257,professionnel de sante,Professionnel de santé,médical
2258,eleve,élevé,None
2259,eleve,élevé,None
2263,gerant,gérant,None
2264,agent de sante,Agent de santé,médical
2268,cuisiniere,cuisinière,None
2273,medecin,médical,médical
2274,artisant,artisans,commerçant
2275,femme au foyer,Femme au foyer,None
2277,journaliste,journaliste,None
2279,ingenieur genie civile,ingénieur génie civile,enseignement
2280,peintre,peintre,None
2282,femme de menage,Femme de ménage,None
2284,assureur,assureur,None
2286,interprete,interprète,None
2287,chroniqueur rts 2,Chroniqueur arts 2,None
2289,directeur dakar actu,Directeur Dakar actu,enseignement
2290,eleve,élevé,None
2291,femme de charge,Femme de charge,None
2292,retraitee,retraitée,None
2293,journaliste,journaliste,None
2294,comptable,comptable,None
2298,enseignant,enseignement,enseignement
2299,journaliste,journaliste,None
2301,responsable administratif,Responsable administratif,médical
2303,medecin,médical,médical
2304,commercant,commerçant,commerçant
2306,restauratrice,restauratrice,None
2307,des en uro,Des en bureau,None
2308,infirmiere,infirmière,médical
2309,assureur askia,Assureur a skia,None
2312,menagere,ménagère,None
2313,caissiere,caissière,None
2314,consultant,consultant,None
2315,diplomate,diplomate,None
2318,autre,autre,None
2319,agent de police,Agent de police,None
2320,agent de securite police,Agent de sécurité police,None
2321,agent de sante,Agent de santé,médical
2322,gendarme,gendarme,None
2323,hotelier,hôtelier,None
2325,gendarme,gendarme,None
